2022-07-07 19:44:23,366 | root | INFO | Writing frame 0
2022-07-07 19:44:23,468 | root | INFO | Writing frame 1
2022-07-07 19:44:23,531 | root | INFO | Writing frame 2
2022-07-07 19:44:23,564 | root | INFO | Writing frame 3
2022-07-07 19:44:23,599 | root | INFO | Writing frame 4
2022-07-07 19:44:23,634 | root | INFO | Writing frame 5
2022-07-07 19:44:23,663 | root | INFO | Writing frame 6
2022-07-07 19:44:23,698 | root | INFO | Writing frame 7
2022-07-07 19:44:23,733 | root | INFO | Writing frame 8
2022-07-07 19:44:23,767 | root | INFO | Writing frame 9
2022-07-07 19:44:23,800 | root | INFO | Writing frame 10
2022-07-07 19:44:23,830 | root | INFO | Writing frame 11
2022-07-07 19:44:23,864 | root | INFO | Writing frame 12
2022-07-07 19:44:23,898 | root | INFO | Writing frame 13
2022-07-07 19:44:23,932 | root | INFO | Writing frame 14
2022-07-07 19:44:23,966 | root | INFO | Writing frame 15
2022-07-07 19:44:24,001 | root | INFO | Writing frame 16
2022-07-07 19:44:24,035 | root | INFO | Writing frame 17
2022-07-07 19:44:24,069 | root | INFO | Writing frame 18
2022-07-07 19:44:24,098 | root | INFO | Writing frame 19
2022-07-07 19:44:24,133 | root | INFO | Writing frame 20
2022-07-07 19:44:24,167 | root | INFO | Writing frame 21
2022-07-07 19:44:24,202 | root | INFO | Writing frame 22
2022-07-07 19:44:24,236 | root | INFO | Writing frame 23
2022-07-07 19:44:24,265 | root | INFO | Writing frame 24
2022-07-07 19:44:24,299 | root | INFO | Writing frame 25
2022-07-07 19:44:24,334 | root | INFO | Writing frame 26
2022-07-07 19:44:24,368 | root | INFO | Writing frame 27
2022-07-07 19:44:24,398 | root | INFO | Writing frame 28
2022-07-07 19:44:24,432 | root | INFO | Writing frame 29
2022-07-07 19:44:24,467 | root | INFO | Writing frame 30
2022-07-07 19:44:24,501 | root | INFO | Writing frame 31
2022-07-07 19:44:24,535 | root | INFO | Writing frame 32
2022-07-07 19:44:24,564 | root | INFO | Writing frame 33
2022-07-07 19:44:24,599 | root | INFO | Writing frame 34
2022-07-07 19:44:24,633 | root | INFO | Writing frame 35
2022-07-07 19:44:24,668 | root | INFO | Writing frame 36
2022-07-07 19:44:24,702 | root | INFO | Writing frame 37
2022-07-07 19:44:24,732 | root | INFO | Writing frame 38
2022-07-07 19:44:24,766 | root | INFO | Writing frame 39
2022-07-07 19:44:24,801 | root | INFO | Writing frame 40
2022-07-07 19:44:24,835 | root | INFO | Writing frame 41
2022-07-07 19:44:24,864 | root | INFO | Writing frame 42
2022-07-07 19:44:24,899 | root | INFO | Writing frame 43
2022-07-07 19:44:24,934 | root | INFO | Writing frame 44
2022-07-07 19:44:24,968 | root | INFO | Writing frame 45
2022-07-07 19:44:24,998 | root | INFO | Writing frame 46
2022-07-07 19:44:25,032 | root | INFO | Writing frame 47
2022-07-07 19:44:25,066 | root | INFO | Writing frame 48
2022-07-07 19:44:25,101 | root | INFO | Writing frame 49
2022-07-07 19:44:25,130 | root | INFO | Writing frame 50
2022-07-07 19:44:25,165 | root | INFO | Writing frame 51
2022-07-07 19:44:25,200 | root | INFO | Writing frame 52
2022-07-07 19:44:25,235 | root | INFO | Writing frame 53
2022-07-07 19:44:25,263 | root | INFO | Writing frame 54
2022-07-07 19:44:25,297 | root | INFO | Writing frame 55
2022-07-07 19:44:25,332 | root | INFO | Writing frame 56
2022-07-07 19:44:25,366 | root | INFO | Writing frame 57
2022-07-07 19:44:25,401 | root | INFO | Writing frame 58
2022-07-07 19:44:25,430 | root | INFO | Writing frame 59
2022-07-07 19:44:25,465 | root | INFO | Writing frame 60
2022-07-07 19:44:25,499 | root | INFO | Writing frame 61
2022-07-07 19:44:25,534 | root | INFO | Writing frame 62
2022-07-07 19:44:25,569 | root | INFO | Writing frame 63
2022-07-07 19:44:25,603 | root | INFO | Writing frame 64
2022-07-07 19:44:25,632 | root | INFO | Writing frame 65
2022-07-07 19:44:25,666 | root | INFO | Writing frame 66
2022-07-07 19:44:25,701 | root | INFO | Writing frame 67
2022-07-07 19:44:25,736 | root | INFO | Writing frame 68
2022-07-07 19:44:25,765 | root | INFO | Writing frame 69
2022-07-07 19:44:25,799 | root | INFO | Writing frame 70
2022-07-07 19:44:25,833 | root | INFO | Writing frame 71
2022-07-07 19:44:25,862 | root | INFO | Writing frame 72
2022-07-07 19:44:25,897 | root | INFO | Writing frame 73
2022-07-07 19:44:25,931 | root | INFO | Writing frame 74
2022-07-07 19:44:25,966 | root | INFO | Writing frame 75
2022-07-07 19:44:26,001 | root | INFO | Writing frame 76
2022-07-07 19:44:26,035 | root | INFO | Writing frame 77
2022-07-07 19:44:26,069 | root | INFO | Writing frame 78
2022-07-07 19:44:26,098 | root | INFO | Writing frame 79
2022-07-07 19:44:26,133 | root | INFO | Writing frame 80
2022-07-07 19:44:26,167 | root | INFO | Writing frame 81
2022-07-07 19:44:26,196 | root | INFO | Writing frame 82
